Id,name,followers,popularity,genres,chart_hits,top_chart
1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,774079.0,56,"['opm', 'pinoy indie', 'pinoy rock']",['ph (2)'],ph
0H1pP8C4zaVSilRjiRa2Wy,D1NO,19269.0,48,['german hip hop'],['de (1)'],de
2HmmA3GhP0xsbRUiDllJUn,Pep & Rash,77599.0,39,"['dutch edm', 'electro house', 'future house', 'house']","['gb (1)', 'ar (1)', 'ie (1)', 'mx (1)', 'nl (2)', 'tw (1)']",nl
2xIWjLEjEkPdclYsGGMTpK,B10,80926.0,45,['drill espanol'],['es (1)'],es
4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,619169.0,56,"['classic opm', 'opm']",['ph (2)'],ph
2AZOALDIBORfbzKTuliwdJ,Cristian Castro,2620684.0,69,"['latin arena pop', 'latin pop']","['ar (1)', 'mx (1)']",ar
7IpcJM0UZeU4b2SV9YRCqx,Alika,28254.0,0,[],['id (1)'],id
3V79CTgRnsDdJSTqKitROv,Nobuo Uematsu,264682.0,61,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",['sa (1)'],sa
7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,1351452.0,64,"['chill r&b', 'dance pop', 'pop', 'pop r&b', 'r&b', 'rap', 'urban contemporary']","['cy (1)', 'id (1)', 'lt (1)', 'mt (1)', 'no (1)']",cy
15NoI73ol1fVF11li1RKMB,Nick Lopez,3252.0,31,[],['lu (1)'],lu
6HHje5tfmzWK8PsSaoJ9Xp,SAMSONS,887275.0,57,"['indonesian pop', 'indonesian pop rock']","['id (3)', 'my (1)']",id
6pUYaWjHnY2HdN6RC6ELml,Total Ape,3330.0,34,[],['se (1)'],se
2L6UrPU37b4pCVWqURjkEX,DON EAZY,1210.0,28,['danish hip hop'],['dk (1)'],dk
1IQ4CjwKkdARjL5KtYiMt4,Ez Mil,68207.0,44,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']","['ph (1)', 'ae (1)']",ph
0t7vWPRBcVv4xBEHPZHSWA,Sitti,74147.0,47,['opm'],['ph (1)'],ph
6bOZtDVI19rOqC4NWihcea,Los Pikantes,7752.0,33,['plena uruguaya'],['uy (2)'],uy
4XC335ouK6pXyq4QiIb8bP,Eliza Rose,12038.0,69,[],"['gb (2)', 'au (2)', 'at (1)', 'be (1)', 'cy (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'de (1)', 'is (1)', 'ie (2)', 'lv (1)', 'lt (2)', 'lu (1)', 'nl (1)', 'nz (1)', 'no (1)', 'sk (1)', 'se (1)', 'ch (1)']",gb
0LyOADBjj28cbvJWTXUEGA,Loren Allred,111839.0,58,"['deep talent show', 'hollywood', 'movie tunes']","['us (1)', 'gb (2)', 'au (2)', 'at (1)', 'cz (1)', 'do (1)', 'ee (1)', 'hk (2)', 'hu (1)', 'is (1)', 'id (2)', 'ie (2)', 'jp (2)', 'my (2)', 'mt (2)', 'mx (1)', 'nz (1)', 'no (1)', 'pa (1)', 'ph (2)', 'pt (1)', 'sg (2)', 'es (1)', 'se (1)', 'tw (2)']",gb
3JCyEziWwDZksR1WY8EckM,Darío Gómez,444728.0,58,"['classic colombian pop', 'folclor colombiano', 'musica popular colombiana']",['co (6)'],co
6Xg22wJOAcnvPUfk5WvODH,JEON SOYEON,626827.0,56,['k-pop'],['kr (1)'],kr
2Dxbev9hZzbiEEwocnObzH,Faul,16673.0,36,['tropical house'],"['ee (1)', 'hu (1)', 'lv (1)', 'lt (1)', 'ph (1)', 'sg (1)']",ee
70x9rYb58QCNNeNxuO3StS,Bruno & Barretto,2455856.0,60,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (1)'],br
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,101804.0,67,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (3)'],br
6IzWNWChYAg3JifycyUluR,Janne Koivunen,125.0,4,[],['fi (1)'],fi
0l8SbtNnklnNXq8RZC3YLy,Grailz Beni,4446.0,43,"['sad lo-fi', 'slowed and reverb']",['sa (1)'],sa
6pZzHAdfBLIEkQVRUhB8ps,Cakra Khan,532592.0,52,['indonesian pop'],"['id (2)', 'my (2)']",id
15tTVhFpH8EFXeDgO9xkRO,Trey Lewis,78275.0,56,"['contemporary country', 'country pop']",['us (1)'],us
5YxFBIX6yyncauK1DmRPY7,Antti Ketonen,5466.0,32,"['finnish pop', 'iskelma']",['fi (7)'],fi
4FlKPhukcfvgdRVi4lUeji,Danni,10436.0,29,['danish hip hop'],['dk (9)'],dk
2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,1928777.0,64,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']","['ar (2)', 'co (1)', 'mx (1)', 'es (1)']",ar
4XDBGHRPftnFVN98aR9hVZ,Jülevenner,55.0,3,[],['is (1)'],is
74TiOlvcz5OvCDBmOdfiyG,Apollon,51.0,19,[],['sa (1)'],sa
4u5rOZ3ecm8hFzCskgOEw3,Innertier,19208.0,38,['norwegian pop'],['no (8)'],no
7sjRnhONmeFL1tmlUvdq70,Fractures,35028.0,39,['vapor soul'],['fr (1)'],fr
0OYspJRShx3Yx7QIykOJgq,OG Ulla-Maija,20313.0,39,"['finnish dance pop', 'finnish hip hop', 'suomirap']",['fi (7)'],fi
5uO0iSpH2o5KCJfJI3oF2p,Pekka Ruuska,2779.0,33,"['classic finnish pop', 'classic iskelma']",['fi (1)'],fi
3VQDqjQ4wJyw8PzpGdlZpB,Colde,319488.0,56,"['chill r&b', 'korean r&b']",['kr (1)'],kr
3LVYHgfHgCTy3QSRt5kKQg,Rasster,8930.0,49,[],"['ca (1)', 'no (1)']",ca
15KLH07gPcD01t7gy4PBFu,Kobi Peretz,83580.0,39,"['israeli mediterranean', 'mizrahi']",['il (1)'],il
6LBCQo20ri3tsvbsWWLmr6,Powderfinger,396457.0,57,"['australian alternative rock', 'australian pop', 'australian rock', 'pop rock']",['au (1)'],au
4rAHyaEQmeABTKj0Rjok4V,DJ Travesura,25033.0,31,['guaracha'],"['ar (1)', 'uy (1)']",ar
29OFoMngbkNzwla2kczgdu,Leila AD,70114.0,44,"['francoton', 'pop urbaine']",['fr (1)'],fr
1s0U0EGo1JZZLMk3PMvmAX,Jonzmen,140.0,0,[],['do (1)'],do
4N874uPqBka1QiCvnCVOtr,Phoebe Ryan,339160.0,55,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'uk pop']","['us (1)', 'au (1)', 'be (1)', 'ca (1)', 'cz (1)', 'hk (1)', 'ie (1)', 'my (1)', 'nz (1)', 'no (2)', 'ph (1)', 'pl (1)', 'sg (1)', 'ch (1)', 'tw (1)', 'tr (1)']",no
71hQB5jxdNiHk5gzZRhicQ,Sonoko Inoue,203114.0,55,"['anime rock', 'j-pop', 'japanese singer-songwriter']",['jp (1)'],jp
