,id,name,followers,popularity,genres,chart_hits,top_chart
0,76M2Ekj8bG8W7X2nbx2CpF,NGHTMRE,432754.0,63,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance']",,
1,0hk4xVujcyOr6USD95wcWb,Sick Luke,190977.0,62,"['italian hip hop', 'trap italiana']","['it (17)', 'ch (1)']",it
2,38jpuy3yt3QIxQ8Fn1HTeJ,Mat.Joe,32297.0,47,"['deep disco house', 'deep groove house', 'deep house', 'disco house', 'funky house', 'funky tech house', 'house']",,
3,6PvcxssrQ0QaJVaBWHD07l,Lp2loose,2224.0,28,[],,
4,2R1QrQqWuw3IjoP5dXRFjt,Marlon Roudette,87434.0,50,['uk pop'],"['us (1)', 'gb (1)', 'au (1)', 'at (2)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'de (2)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (2)', 'lt (1)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'nl (1)', 'nz (1)', 'no (1)', 'pa (1)', 'py (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'se (1)', 'ch (1)', 'tw (1)', 'tr (1)', 'uy (1)']",at
5,0k70gnDBLPirCltbTzoxuM,Faber,197012.0,57,"['german indie', 'liedermacher', 'swiss indie']","['at (1)', 'ch (4)']",ch
6,1bAftSH8umNcGZ0uyV7LMg,Duki,6862156.0,84,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']","['ar (76)', 'bo (15)', 'cl (26)', 'co (4)', 'cr (10)', 'do (1)', 'ec (12)', 'sv (8)', 'gt (6)', 'hn (3)', 'mt (1)', 'mx (3)', 'ni (3)', 'pa (5)', 'py (32)', 'pe (10)', 'es (24)', 'uy (68)']",ar
7,21ey6s5hEcTcVKDrF5MWby,KOLIDESCOPES,7053.0,50,['vapor soul'],['lu (1)'],lu
8,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,23828027.0,79,"['desi pop', 'filmi', 'modern bollywood']","['in (24)', 'my (3)']",in
9,2I9SLklAOG0vdMiUUMNxRl,88GLAM,421963.0,58,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']","['ca (2)', 'my (1)']",ca
10,1iIdweeZKCIYQ5xepyaIYz,Millennium Project,4930.0,39,['finnish dance pop'],['fi (2)'],fi
11,4Cmzjffz7uLaESQIWIs9G5,Moslem,74899.0,31,['mahraganat'],['eg (1)'],eg
12,2aaGbpl5Y2ykZsNFZM6ofw,Jill Johnson,102794.0,45,"['classic swedish pop', 'europop', 'skansk musik', 'swedish country', 'swedish pop']",['se (15)'],se
13,0OZ5IlVdYIK1Et3nW6aTO5,Hubert Wu,63374.0,41,['cantopop'],['hk (16)'],hk
14,0zkoIIaqJT7WP0rly4rOMk,Roisto,3704.0,34,['finnish edm'],,
15,0IpLJsvZHA1op1pw8GAoPu,Valesca Popozuda,732936.0,42,"['funk carioca', 'funk das antigas', 'funk pop']",['br (3)'],br
16,2oX42qP5ineK3hrhBECLmj,Andy Grammer,1089922.0,70,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock']","['us (3)', 'gb (2)', 'au (3)', 'at (2)', 'be (2)', 'bo (2)', 'br (2)', 'bg (2)', 'ca (3)', 'co (2)', 'cr (2)', 'cy (2)', 'cz (2)', 'dk (3)', 'do (2)', 'ec (2)', 'sv (2)', 'ee (3)', 'fi (2)', 'de (2)', 'gr (2)', 'gt (2)', 'hn (2)', 'hk (3)', 'hu (3)', 'is (2)', 'id (2)', 'ie (3)', 'it (2)', 'lv (3)', 'lt (3)', 'lu (1)', 'my (3)', 'mt (3)', 'nl (2)', 'nz (3)', 'ni (2)', 'no (3)', 'pa (2)', 'py (2)', 'ph (2)', 'pl (2)', 'pt (2)', 'ro (1)', 'sg (3)', 'sk (3)', 'za (1)', 'es (2)', 'se (2)', 'ch (2)', 'tw (3)', 'tr (2)', 'uy (2)']",us
17,5sSzCxHtgL82pYDvx2QyEU,Devi Sri Prasad,5932469.0,68,"['filmi', 'tollywood']","['in (5)', 'ae (1)']",in
