,source,target
69,3ef2an5giEP6Hc60lKEVEy,3us9fVKGxelK4OfEMng997
70,6lPJV4RlngIEnb6OzcwMDL,7blTwZGiTplsvBEvYOsDot
71,5pUo3fmmHT8bhCyHE52hA6,6rXMet89uui55tWrcEz7ma
72,0iBZjEZBg8GsjaBq3lTAvC,6E4isOyUjuu3DeCsEYKwSi
73,0SmrKFDmVGR8JXzU926kua,2oM7LqPaoCUcHHHnsTtgn1
74,1vo8zHmO1KzkuU9Xxh6J7W,7DMveApC7UnC2NPfPvlHSU
75,3NKKngINK1tP6BFy0WOyWk,6J4zegMTYP4nGJSpSDvy49
76,0zg4soTKKYncxkL8w50WtW,69GGBxA162lTqCwzJG5jLp
77,55Aa2cqylxrFIXC767Z865,6LuN9FCkKOj5PcnpouEgny
78,4uq3HY9rto71MxVGVCZm8G,6mU8ucezzms5I2kNH6HNlu
79,2WoVwexZuODvclzULjPQtm,3bg5rmICvmA8dmYVAdKGYH
80,15jrieCvf3EklAScnD9kKl,3wguwjQfKIni7Ih0FIHTq6
81,6C0KWmCdqrLU2LzzWBPbOy,6qJ61DomA73g7jQEKESw9Z
82,1c22GXH30ijlOfXhfLz9Df,4myAXQmMuS1lZe8T6Y7eBg
83,4z19QMyPVRwbd4Fs2LisBa,7lCRuW6BSXGAsxuQV9lR0i
84,2kCcBybjl3SAtIcwdWpUe3,5gCRApTajqwbnHHPbr2Fpi
85,1owCC0eLSdPUND3qAAFEmv,5iNrZmtVMtYev5M9yoWpEq
86,0pcoadNMmvrUyab1RxWBoV,2FDaBZt51fOXh2rbHL8Afr
87,1c61yiH4iYE7cHtjAYSUu3,7pGyQZx9thVa8GxMBeXscB
88,0X2BH1fck6amBIoJhDVmmJ,4e7qJTThm5uI3CplqZObfT
89,0Twk7swVpScH341g40BIbO,24jJXZRz3aGvjVvZ4OoerD
90,3DnNQH13SfSOjZDsVEa0ht,6StTE02qIwbcJjGEDSZgg5
91,4MswQnojZK1oRaxNsACqjv,5TgQ66WuWkoQ2xYxaSTnVP
92,1sLYZv95ZXwVfyGHan5w45,1vmJBUoJ6Z4JqU4mlw1bPC
93,2rUOBAmeKcpfmd83cIj5Au,5IlZEjI04ema3Gwjt1a60s
94,02uYdhMhCgdB49hZlYRm9o,23BcnILXgG8UKUS4R48rCv
95,002eDhqXlxtQHdaIKXyf3H,6Ou3UN8LbnAY6RTn2Z5IgW
96,0LhHRmSd1EYM5QdNeNnCoQ,79PC6rrXA39xOdNTf71dvN
97,0JnDkp29FlLpGwsnub400t,7JCJA9JUFT138Nuivyxp9n
98,35vsCsMdgbOroCgADBadfR,7ChbI909duz2evHDqsYsSa
99,1uNFoZAHBGtllmzznpCI3s,7q4d6AQkUPNfmZzBhzfnNt
100,0ExOaVFeqJBe9niEG4HZAX,404oLEm20rXDCHi61f6uvg
101,1XGTgBBrLnDeKsrr354Nza,59jeu94znh2noMuS99hZjA
102,1GAymyGBvB4gQy5Z5LZ1Wj,1tClPu7uXdaZEQ32vihyJ1
103,2e7yDxnK4osy7nKhnqrOFM,5qG2J0qnQEu26oybRztt0H
104,56FObtReljLqgs2bgQ0kZS,6akDfyocmsREgR5eUXZt3I
105,0wGBm2CPjVcX983nxL0iTy,1xCbQhtV5c1Vc1I1n2jyv0
106,6ydoSd3N2mwgwBHtF6K7eX,7f5Zgnp2spUuuzKplmRkt7
107,03EzxVCCA9InVQzkkhjKZI,2D9eG3B30VlpA1uME35LeB
108,0W8WpLB5WoXLgiA193LXk6,3flcjKgRCeBVZTR8n8iShE
109,0Hl7eFs2Jcti4isY5n9qSx,3aO2Q4cXKGxsh87bX4Oavo
110,13YmWQJFwgZrd4bf5IjMY4,4dd51FVszufOmnoNsIWkSV
111,1udruffum7CorOphFUMB9A,3IzKjlnVRI9kv9MLlEPflC
112,0hCNtLu0JehylgoiP8L4Gh,246dkjvS1zLTtiykXe5h60
113,1Ba4dhPqLWmwj3Fwf9oWDs,2xUDx9SBC0huIMC2ekMSvd
114,25uiPmTg16RbhZWAqwLBy5,2qDdxfKUpYg8wc49KIuT3b
115,5itNRAG8DPcD6Yrm1rFPLv,6FruCl8GUxsP07s6LpsNKs
116,0iBZjEZBg8GsjaBq3lTAvC,7dHiLDmaaoJ7XwEqWCcIah
117,2QjS2N6sORI7H4qbf6xitS,3CuWYvDpKC3HVLru1CPGts
118,4z19QMyPVRwbd4Fs2LisBa,6jgnTv2XzWm7et5b5Bt5Hi
119,1OTd5yZApZxhjFTjETUdRa,4T8Mus8GCWPob9q7istw68
120,2iEvnFsWxR0Syqu2JNopAd,53M4Iv2RkzzxFFvW2B1jhC
121,3xXcmm9Re8N2sC15Ab5boo,6npKsb0CeJMFX3FwjKybfD
122,27pJHguCyUUPoR9YzNx6I1,7mC8Nb2rN3hM0v0bpxaMzL
123,2UHBgxDvOBaIY7hQ8CEAmW,5ZLrUYtJDZYWQXicVVO8On
124,3dmZ3wta3HIXMUPwoSwkJC,6brKi6i5SusNnoKcSlKAan
125,2CgysNw5B7rFNRtRjQbPZ9,3sjtmLaxBX2uQypDRE3IlN
126,1kDGbuxWknIKx4FlgWxiSp,48AHKCezlxWjPfE4FLf0b8
127,3yzGegJHrOW1CndMVFoo3m,6hOMsNrEKV7FzQpypeZGf5
128,3pbi8H08p95NUZ7m6ybxUV,6vbY3hOaCAhC7VjucswgdS
129,2KDK6LDA8DKphV0wwHb40D,4S9bKvuWXZnb4u03o8NwAe
130,4xe6s55EDjpRpyZsrFoiWh,79NHJFzd1chgx30ZOavJaC
131,060TqET6tyyfAQLXDyIDD8,65pC7ySFWSOsEUPorwrAaK
132,2HdP7fpDiLWAvElYGg75gd,5eioJDe26lOqkAMbuhzZYs
133,1YUQBcslZbEeShc171Z5UR,4m5bANP6wwn3O6xmjYxhTm
134,0iEtIxbK0KxaSlF7G42ZOp,1vyhD5VmyZ7KMfW5gqLgo5
135,0SWOtgI95g7oVrP9halrmP,6DARBhWbfcS9E4yJzcliqQ
136,4GLJPBj5Cdr9AgLKvLWM4n,5fyDppLDl1juIu1BcUT5zh
137,5vGoWnZO65NBgiZYBmi3iW,7sBtBCNVRujQhaHDODkfTN
138,1ic0FHNGIjXZAWH6O6Reif,1mU61l2mcjEFraXZLpvVMo
139,5hJy2vZbK50JNuVK6pvVR2,5qvsnmqpLAF2pJIjznNSdp
140,2MnMuRYL9qsGvWPsZGeDGQ,5w5u1DluuMvsS9o02rqWO5
141,1FVIussEvC43HZnVOY7Zjs,6KSaWsYvSy4JV7pM6MWQEK
142,3nYA3xQYNjMXqtaE6wXP0g,7M6ItqYUMPQRQQ5q54tl7G
143,59wfkuBoNyhDMQGCljbUbA,5nLYd9ST4Cnwy6NHaCxbj8
144,2XcZshqzPKm3iZcmt73R8D,7kvnG7JhX0ycVMVb8SP8EL
145,2wghI3P3W8vxgsb0le3Fgk,4Ws2otunReOa6BbwxxpCt6
146,1Wxx3yxd6gZsNiAF1OwLk0,6UE7nl9mha6s8z0wFQFIZ2
147,3J0BpFVUc9LeOIVeN5uNhU,3p3jPcp8b7WL9XYj4xlsWj
148,45eNHdiiabvmbp4erw26rg,6CCTvLyIHqUhY6VQizt150
149,1iLuTmIgxCEiEllDSWkeIy,1n2pb9Tsfe4SwAjmUac6YT
150,1GKIlPFdcewHtpDVCQ8zmJ,5NescwT8CJqGf64LVVD6td
151,1uPavQX3qoqo2rIY8W6R3y,5vQXzZjy86ijQhMjMb1ke4
152,0SfsnGyD8FpIN4U4WCkBZ5,4Q5snyb5ODh1VXbdvHtJgx
153,0gusqTJKxtU1UTmNRMHZcv,45a6gCQWq61lIUDmr1tKuO
