,id,name,followers,popularity,genres,chart_hits,top_chart,x,y,degree
15749,0LO6YMGMEXvD3dvCaRkZ5H,Eddy Veerus,692.0,24,[],,,-19735.02862499808,2738.0573415218887,2
15750,2tLJVfJKBWmzbubWDH8Sz9,Panther Modern,79.0,26,[],,,-15160.537397149137,-8448.930053699349,1
15751,1LftWcqpFbqz81DS27TByR,Clubfeet,15466.0,28,"['australian indie', 'shimmer pop']",,,-19120.693207026572,4509.631675675749,1
15752,3lX6w0gmtgVeijiFxNz5O7,Mc Nando Dk,128052.0,41,['funk carioca'],,,-7740.48679095686,7609.967121342835,12
15753,7q4O5KTgHKdsT15BWNr0M7,Anthony Touma,2253.0,27,['lebanese indie'],,,-17600.747338330308,5226.390597393306,2
15754,3ZBhVsCWljAG7ommW5sPRW,Simran Kaur,307.0,37,[],,,-19622.76896294967,11965.326296342591,1
15755,5ncITNKBT3RMa1U2NsuE7V,DJ BOY,177804.0,70,"['funk carioca', 'funk ostentacao']",['br (1)'],br,-7285.352988451356,7511.965703334993,34
15756,1W9zmk9JQsQaKSpphFHkUV,Gareth Jones,422.0,24,[],,,-20297.15580823896,5610.481977048779,1
15757,1RaUlYy9nsEiDlucisa5Bk,Anezzi,2076.0,59,['r&b brasileiro'],,,-8254.387300854374,7349.697341389044,4
15758,5Qw3RHD3R95D98alngBJOZ,Yuri da Cunha,36443.0,32,"['kizomba', 'musica angolana', 'semba']",,,-13783.518973526297,5126.957172607955,4
15759,4JRNtdW7IlzTeASEk0Oayo,SEGPA,428.0,32,[],,,-21346.45034468778,3953.820092377886,2
15760,4OYgq5HqicvfcYOIyjsvYE,Manohar Shetty,145.0,41,[],,,-21160.076235983393,18209.340015934267,1
15761,45lcbTsX07JWzmTIjcdyBz,Matroda,82155.0,56,"['bass house', 'edm', 'electro house', 'house']","['at (1)', 'lu (1)']",at,-18553.57248590318,3948.822686022436,38
15762,0OgRGQfnDRVuDL6U43xPJm,VJ Awax,9703.0,32,"['reunion pop', 'zouk riddim']",,,-16799.353981978824,4450.2813623191205,1
15763,1aeT328Fm9tNsyiCGmrpzj,DJ Mandrake,161.0,34,[],,,-5108.563972181401,8715.766760486684,4
15764,4YTLiFY62kbwDEdotewiUQ,Tveth,1030.0,31,['russian trap'],,,-25145.47977572646,2668.078776834259,1
15765,2rspptKP0lPBdlJJAJHqht,Yussef Dayes,112224.0,52,"['british jazz', 'indie jazz', 'indie soul', 'uk contemporary jazz']",,,-19650.131239228835,2794.517189113323,2
15766,0zy2cBRPgxoVi0hqTHd6yN,Jordan Magro,5543.0,37,[],,,-18456.45963948076,4550.6144818000075,4
15767,59V9J0PXQg8QkQWL4YCEgh,TL De Guadalupe,19.0,21,[],,,-4485.5012607777835,8612.368499986187,1
15768,1wyIYvnqxD6ZU6VDPYkbdP,Dikta,7162.0,25,"['icelandic indie', 'icelandic rock']",,,-21072.79302347233,655.4754091654711,2
15769,19jotRfFullBKocQAhkvjs,Jolina Magdangal,218865.0,45,"['classic opm', 'opm']",,,-20601.35378005032,16222.72544757913,4
15770,6Nm62oNQCdPxVoiQtFSksF,Estelares,363166.0,57,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",['ar (2)'],ar,-14175.246628972125,2799.8536252856297,7
15771,1qWUNJyigZXNCBfhrSVazY,Alina Pozi,172.0,22,[],,,-16866.633245810703,4170.172098668298,3
15772,49V0e4iCjNvIqEuyFDQi0F,Sarodj,941.0,33,[],,,-13361.03528038484,3623.5286425672684,5
15773,5rr0CMtvn1p9Be8ICfkTc3,Charming Horses,61995.0,52,"['deep tropical house', 'german dance', 'tropical house']",,,-19491.64032898207,3836.615820695981,9
15774,5lCekoJW9jNq01B1wiqdAb,Crankdat,68346.0,50,"['dubstep', 'edm', 'electro house', 'electronic trap', 'future bass', 'gaming dubstep', 'melodic dubstep']",,,-18836.317860653762,4549.703860918503,22
15775,0U1vPNbcJ2OJIcqFmhf3dy,Jozels,1854.0,33,['estonian electronic'],['ee (1)'],ee,-18476.935317401047,2129.591080647824,3
15776,22l90jdK9JPlpGPXupCaDZ,Costa Azul,2549.0,23,[],['ni (1)'],ni,4951.619718234503,-14529.288018321075,1
15777,0vEYOFlkqy2FUy1UOF7RiV,Chiquito Team Band,51727.0,42,"['dominican pop', 'modern salsa', 'salsa']",['do (3)'],do,-11316.853044257776,1264.4018748493697,3
15778,5pDjmC5mRl7vDJhsjVwNfk,Freya Ridings,310471.0,60,['uk pop'],"['gb (2)', 'au (1)', 'at (1)', 'be (1)', 'cy (1)', 'fr (1)', 'de (1)', 'ie (2)', 'lu (1)', 'mt (1)', 'nz (1)', 'ch (1)']",gb,-19907.822433536512,4313.395853920615,10
15779,5hKGLu4Ik88FzWcTPhWNTN,INTERWORLD,15371.0,66,[],"['ee (2)', 'lv (1)', 'lt (2)', 'sa (1)', 'ua (1)']",ee,-25564.14086256598,5061.442974579305,6
15780,0rcA9xExulHK8nAe6J54ii,Joel Melody,829.0,20,[],,,-13341.34173200762,3015.361006521513,3
15781,5yxqs3dYSbyBYRebEh7aJe,CACUCA,506.0,26,[],,,-15024.779910716206,4516.26665491664,7
15782,1gUH71ZCFzPyLoyrSguJe1,Yuno Bigboi,1807.0,26,[],,,-22906.3595166954,13666.907709294017,4
15783,1PH7LtTLFyoZUEa7B64pws,Lyapis Trubetskoy,199620.0,44,"['belarusian indie', 'belarusian punk', 'belarusian rock', 'classic russian rock', 'russian punk', 'russian rock']",,,-22795.940678680243,2908.241341911449,2
15784,0WHbjg8hVel1R9kq5794HX,Shimza,112376.0,38,"['afro house', 'south african house']",,,-15118.576267919849,348.97246255667085,5
15785,0wJDbxpqtwjA2FxfU6KI0E,Max Landry,4131.0,39,[],,,-20237.067025313096,3070.980372979975,6
15786,6jTpCdn1rLOY8OPiTlG7Yt,Vio,123250.0,49,"['new school turkce rap', 'turkish hip hop', 'turkish trap', 'turkish trap pop']",['tr (14)'],tr,-21392.440056098596,1013.1413314515081,15
15787,3aXzx5ES0capjaDyvYsdRI,Sebastian Noto,630.0,29,[],['fi (1)'],fi,-16593.869322780454,11020.931672343708,4
15788,7a5UP5LmDJ0E3loj0B0XUW,Ghostlo,9854.0,28,[],,,-20343.17711495163,5793.914077525648,1
